HF energy: -52.893914481982335
# of electrons: 10
# of spin orbitals: 18
XIXZYYXIXIXX	(2.7537799915818347e-07+0j)
XIYIYXXIXIXX	(-2.7537799915818347e-07+0j)
XIXZYYYZXIXY	(2.7537799915818347e-07+0j)
XIYIYXYZXIXY	(-2.7537799915818347e-07+0j)
XXZIYYZIZIIZ	(1.135000103225084e-06+0j)
XYZIYXZIZIIZ	(-1.135000103225084e-06+0j)
XXZIYYZIZIZX	(0.00015425508702362984+0j)
XYZIYXZIZIZX	(-0.00015425508702362984+0j)
XXZIYYZIZIIX	(-0.00015425508702362984+0j)
XYZIYXZIZIIX	(0.00015425508702362984+0j)
XXZIYYZIZYYX	(-0.00032779867024232233+0j)
XYZIYXZIZYYX	(0.00032779867024232233+0j)
XXZIYYZIZXYY	(0.00032779867024232233+0j)
XYZIYXZIZXYY	(-0.00032779867024232233+0j)
XXZIYYZIIIXX	(-0.004766394567751668+0j)
XYZIYXZIIIXX	(0.004766394567751668+0j)
XXZIYYZIZZYY	(-0.004766394567751668+0j)
XYZIYXZIZZYY	(0.004766394567751668+0j)
XXZIYYYYXIXX	(-0.011957641201109372+0j)
XYZIYXYYXIXX	(0.011957641201109372+0j)
XXZIYYYXXIXY	(0.011957641201109372+0j)
XYZIYXYXXIXY	(-0.011957641201109372+0j)
XXZIYYXIXIXX	(3.184162046939846e-07+0j)
XYZIYXXIXIXX	(-3.184162046939846e-07+0j)
XXZIYYYZXIXY	(3.184162046939846e-07+0j)
XYZIYXYZXIXY	(-3.184162046939846e-07+0j)
XZZIYYZIZIIZ	(0.021988523829680563+0j)
YIIIYXZIZIIZ	(-0.021988523829680563+0j)
XZZIYYZIZIZX	(8.793849185452867e-07+0j)
YIIIYXZIZIZX	(-8.793849185452867e-07+0j)
XZZIYYZIZIIX	(-8.793849185452867e-07+0j)
YIIIYXZIZIIX	(8.793849185452867e-07+0j)
XZZIYYZIZYYX	(1.9282831696207595e-07+0j)
YIIIYXZIZYYX	(-1.9282831696207595e-07+0j)
XZZIYYZIZXYY	(-1.9282831696207595e-07+0j)
YIIIYXZIZXYY	(1.9282831696207595e-07+0j)
XZZIYYZIIIXX	(2.7537799915818347e-07+0j)
YIIIYXZIIIXX	(-2.7537799915818347e-07+0j)
XZZIYYZIZZYY	(2.7537799915818347e-07+0j)
YIIIYXZIZZYY	(-2.7537799915818347e-07+0j)
XZZIYYYYXIXX	(-3.184162046939846e-07+0j)
YIIIYXYYXIXX	(3.184162046939846e-07+0j)
XZZIYYYXXIXY	(3.184162046939846e-07+0j)
YIIIYXYXXIXY	(-3.184162046939846e-07+0j)
XZZIYYXIXIXX	(0.01841814308597845+0j)
YIIIYXXIXIXX	(-0.01841814308597845+0j)
